source_dataset,passenger_id,pclass,survived,name,sex,age,family_size,fare,embarked,survived_label
Dataset 1,1291,1,0,"Wright, Mr. George",male,62.0,0.0,26.55,S,Did Not Survive
Dataset 1,1292,3,0,"Yasbeck, Mr. Antoni",male,27.0,1.0,14.4542,C,Did Not Survive
Dataset 1,1293,3,1,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15.0,1.0,14.4542,C,Survived
Dataset 1,1294,1,1,"Young, Miss. Marie Grice",female,36.0,0.0,135.6333,C,Survived
Dataset 1,1295,3,0,"Youseff, Mr. Gerious",male,45.5,0.0,7.225,C,Did Not Survive
Dataset 1,1296,2,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0.0,13.0,S,Did Not Survive
Dataset 1,1297,3,0,"Zabour, Miss. Hileni",female,14.5,1.0,14.4542,C,Did Not Survive
Dataset 1,1298,3,0,"Zakarian, Mr. Mapriededer",male,26.5,0.0,7.225,C,Did Not Survive
Dataset 1,1299,3,0,"Zakarian, Mr. Ortin",male,27.0,0.0,7.225,C,Did Not Survive
Dataset 1,1300,3,0,"Zimmerman, Mr. Leo",male,29.0,0.0,7.875,S,Did Not Survive
Dataset 2,24160,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0.0,211.3375,S,Survived
Dataset 2,113781,1,1,"Allison, Master. Hudson Trevor",male,0.92,3.0,151.55,S,Survived
Dataset 2,113781,1,0,"Allison, Miss. Helen Loraine",female,2.0,3.0,151.55,S,Did Not Survive
Dataset 2,113781,1,0,"Allison, Mr. Hudson Joshua Creighton",male,30.0,3.0,151.55,S,Did Not Survive
Dataset 2,113781,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,3.0,151.55,S,Did Not Survive
Dataset 2,19952,1,1,"Anderson, Mr. Harry",male,48.0,0.0,26.55,S,Survived
Dataset 2,13502,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1.0,77.9583,S,Survived
Dataset 2,112050,1,0,"Andrews, Mr. Thomas Jr",male,39.0,0.0,0.0,S,Did Not Survive
Dataset 2,11769,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2.0,51.4792,S,Survived
Dataset 2,PC 17609,1,0,"Artagaveytia, Mr. Ramon",male,71.0,0.0,49.5042,C,Did Not Survive
Dataset 2,PC 17757,1,0,"Astor, Col. John Jacob",male,47.0,1.0,227.525,C,Did Not Survive
Dataset 2,PC 17757,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1.0,227.525,C,Survived
Dataset 2,PC 17477,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0.0,69.3,C,Survived
Dataset 2,19877,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0.0,78.85,S,Survived
Dataset 2,27042,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0.0,30.0,S,Survived
Dataset 2,PC 17318,1,0,"Baumann, Mr. John D",male,,0.0,25.925,S,Did Not Survive
Dataset 2,PC 17558,1,0,"Baxter, Mr. Quigg Edmond",male,24.0,1.0,247.5208,C,Did Not Survive
Dataset 2,PC 17558,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,1.0,247.5208,C,Survived
Dataset 2,11813,1,1,"Bazzani, Miss. Albina",female,32.0,0.0,76.2917,C,Survived
Dataset 2,13050,1,0,"Beattie, Mr. Thomson",male,36.0,0.0,75.2417,C,Did Not Survive
Dataset 2,11751,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,2.0,52.5542,S,Survived
Dataset 2,11751,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,2.0,52.5542,S,Survived
Dataset 2,111369,1,1,"Behr, Mr. Karl Howell",male,26.0,0.0,30.0,C,Survived
Dataset 2,PC 17757,1,1,"Bidois, Miss. Rosalie",female,42.0,0.0,227.525,C,Survived
Dataset 2,PC 17483,1,1,"Bird, Miss. Ellen",female,29.0,0.0,221.7792,S,Survived
Dataset 2,13905,1,0,"Birnbaum, Mr. Jakob",male,25.0,0.0,26.0,C,Did Not Survive
Dataset 2,11967,1,1,"Bishop, Mr. Dickinson H",male,25.0,1.0,91.0792,C,Survived
Dataset 2,11967,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1.0,91.0792,C,Survived
Dataset 2,PC 17760,1,1,"Bissette, Miss. Amelia",female,35.0,0.0,135.6333,S,Survived
Dataset 2,110564,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0.0,26.55,S,Survived
Dataset 2,113784,1,0,"Blackwell, Mr. Stephen Weart",male,45.0,0.0,35.5,S,Did Not Survive
Dataset 2,112277,1,1,"Blank, Mr. Henry",male,40.0,0.0,31.0,C,Survived
Dataset 2,36928,1,1,"Bonnell, Miss. Caroline",female,30.0,0.0,164.8667,S,Survived
Dataset 2,113783,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0.0,26.55,S,Survived
Dataset 2,110489,1,0,"Borebank, Mr. John James",male,42.0,0.0,26.55,S,Did Not Survive
Dataset 2,PC 17608,1,1,"Bowen, Miss. Grace Scott",female,45.0,0.0,262.375,C,Survived
Dataset 2,113505,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,1.0,55.0,S,Survived
Dataset 2,111427,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0.0,26.55,S,Survived
Dataset 2,113054,1,0,"Brady, Mr. John Bertram",male,41.0,0.0,30.5,S,Did Not Survive
Dataset 2,PC 17591,1,0,"Brandeis, Mr. Emil",male,48.0,0.0,50.4958,C,Did Not Survive
Dataset 2,112379,1,0,"Brewe, Dr. Arthur Jackson",male,,0.0,39.6,C,Did Not Survive
Dataset 2,PC 17610,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0.0,27.7208,C,Survived
Dataset 2,11769,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2.0,51.4792,S,Survived
Dataset 2,11813,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0.0,76.2917,C,Survived
Dataset 2,16966,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0.0,134.5,C,Survived
Dataset 2,113050,1,0,"Butt, Major. Archibald Willingham",male,45.0,0.0,26.55,S,Did Not Survive
Dataset 2,113798,1,0,"Cairns, Mr. Alexander",male,,0.0,31.0,S,Did Not Survive
Dataset 2,PC 17476,1,1,"Calderhead, Mr. Edward Pennington",male,42.0,0.0,26.2875,S,Survived
Dataset 2,PC 17606,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,0.0,27.4458,C,Survived
Dataset 2,PC 17755,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,1.0,512.3292,C,Survived
Dataset 2,PC 17755,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,1.0,512.3292,C,Survived
Dataset 2,695,1,0,"Carlsson, Mr. Frans Olof",male,33.0,0.0,5.0,S,Did Not Survive
Dataset 2,113059,1,0,"Carrau, Mr. Francisco M",male,28.0,0.0,47.1,S,Did Not Survive
Dataset 2,113059,1,0,"Carrau, Mr. Jose Pedro",male,17.0,0.0,47.1,S,Did Not Survive
Dataset 2,113760,1,1,"Carter, Master. William Thornton II",male,11.0,3.0,120.0,S,Survived
Dataset 2,113760,1,1,"Carter, Miss. Lucile Polk",female,14.0,3.0,120.0,S,Survived
Dataset 2,113760,1,1,"Carter, Mr. William Ernest",male,36.0,3.0,120.0,S,Survived
Dataset 2,113760,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,3.0,120.0,S,Survived
Dataset 2,19924,1,0,"Case, Mr. Howard Brown",male,49.0,0.0,26.0,S,Did Not Survive
Dataset 2,17770,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0.0,27.7208,C,Survived
Dataset 2,19877,1,0,"Cavendish, Mr. Tyrell William",male,36.0,1.0,78.85,S,Did Not Survive
Dataset 2,19877,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1.0,78.85,S,Survived
Dataset 2,W.E.P. 5734,1,0,"Chaffee, Mr. Herbert Fuller",male,46.0,1.0,61.175,S,Did Not Survive
Dataset 2,W.E.P. 5734,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1.0,61.175,S,Survived
Dataset 2,113806,1,1,"Chambers, Mr. Norman Campbell",male,27.0,1.0,53.1,S,Survived
Dataset 2,113806,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,1.0,53.1,S,Survived
Dataset 2,PC 17608,1,1,"Chaudanson, Miss. Victorine",female,36.0,0.0,262.375,C,Survived
Dataset 2,110152,1,1,"Cherry, Miss. Gladys",female,30.0,0.0,86.5,S,Survived
Dataset 2,PC 17594,1,1,"Chevre, Mr. Paul Romaine",male,45.0,0.0,29.7,C,Survived
Dataset 2,113505,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,1.0,55.0,S,Survived
Dataset 2,112051,1,0,"Chisholm, Mr. Roderick Robert Crispin",male,,0.0,0.0,S,Did Not Survive
Dataset 2,13508,1,0,"Clark, Mr. Walter Miller",male,27.0,1.0,136.7792,C,Did Not Survive
Dataset 2,13508,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,1.0,136.7792,C,Survived
Dataset 2,113781,1,1,"Cleaver, Miss. Alice",female,22.0,0.0,151.55,S,Survived
Dataset 2,110465,1,0,"Clifford, Mr. George Quincy",male,,0.0,52.0,S,Did Not Survive
Dataset 2,5727,1,0,"Colley, Mr. Edward Pomeroy",male,47.0,0.0,25.5875,S,Did Not Survive
Dataset 2,PC 17756,1,1,"Compton, Miss. Sara Rebecca",female,39.0,2.0,83.1583,C,Survived
Dataset 2,PC 17756,1,0,"Compton, Mr. Alexander Taylor Jr",male,37.0,2.0,83.1583,C,Did Not Survive
Dataset 2,PC 17756,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,2.0,83.1583,C,Survived
Dataset 2,11770,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55.0,2.0,25.7,S,Survived
Dataset 2,113791,1,0,"Crafton, Mr. John Bertram",male,,0.0,26.55,S,Did Not Survive
Dataset 2,WE/P 5735,1,0,"Crosby, Capt. Edward Gifford",male,70.0,2.0,71.0,S,Did Not Survive
Dataset 2,WE/P 5735,1,1,"Crosby, Miss. Harriet R",female,36.0,2.0,71.0,S,Survived
Dataset 2,112901,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,2.0,26.55,S,Survived
Dataset 2,PC 17599,1,0,"Cumings, Mr. John Bradley",male,39.0,1.0,71.2833,C,Did Not Survive
Dataset 2,PC 17599,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1.0,71.2833,C,Survived
Dataset 2,113055,1,1,"Daly, Mr. Peter Denis",male,51.0,0.0,26.55,S,Survived
Dataset 2,113804,1,1,"Daniel, Mr. Robert Williams",male,27.0,0.0,30.5,S,Survived
Dataset 2,113781,1,1,"Daniels, Miss. Sarah",female,33.0,0.0,151.55,S,Survived
Dataset 2,F.C. 12750,1,0,"Davidson, Mr. Thornton",male,31.0,1.0,52.0,S,Did Not Survive
Dataset 2,F.C. 12750,1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,27.0,3.0,52.0,S,Survived
Dataset 2,17474,1,1,"Dick, Mr. Albert Adrian",male,31.0,1.0,57.0,S,Survived
Dataset 2,17474,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1.0,57.0,S,Survived
Dataset 2,33638,1,1,"Dodge, Dr. Washington",male,53.0,2.0,81.8583,S,Survived
Dataset 2,33638,1,1,"Dodge, Master. Washington",male,4.0,2.0,81.8583,S,Survived
Dataset 2,33638,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,2.0,81.8583,S,Survived
Dataset 2,PC 17761,1,0,"Douglas, Mr. Walter Donald",male,50.0,1.0,106.425,C,Did Not Survive
Dataset 2,PC 17558,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,2.0,247.5208,C,Survived
Dataset 2,PC 17761,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,1.0,106.425,C,Survived
Dataset 2,11755,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1.0,39.6,C,Survived
Dataset 2,PC 17485,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,1.0,56.9292,C,Survived
Dataset 2,PC 17580,1,0,"Dulles, Mr. William Crothers",male,39.0,0.0,29.7,C,Did Not Survive
Dataset 2,11767,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23.0,1.0,83.1583,C,Survived
Dataset 2,PC 17757,1,1,"Endres, Miss. Caroline Louise",female,38.0,0.0,227.525,C,Survived
Dataset 2,36947,1,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,1.0,78.2667,C,Survived
Dataset 2,PC 17531,1,0,"Evans, Miss. Edith Corse",female,36.0,0.0,31.6792,C,Did Not Survive
Dataset 2,PC 17483,1,0,"Farthing, Mr. John",male,,0.0,221.7792,S,Did Not Survive
Dataset 2,PC 17598,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,,0.0,31.6833,S,Survived
Dataset 2,17421,1,1,"Fleming, Miss. Margaret",female,,0.0,110.8833,C,Survived
Dataset 2,PC 17474,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0.0,26.3875,S,Survived
Dataset 2,113051,1,0,"Foreman, Mr. Benjamin Laventall",male,30.0,0.0,27.75,C,Did Not Survive
Dataset 2,19950,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,5.0,263.0,S,Survived
Dataset 2,19950,1,1,"Fortune, Miss. Ethel Flora",female,28.0,5.0,263.0,S,Survived
Dataset 2,19950,1,1,"Fortune, Miss. Mabel Helen",female,23.0,5.0,263.0,S,Survived
Dataset 2,19950,1,0,"Fortune, Mr. Charles Alexander",male,19.0,5.0,263.0,S,Did Not Survive
Dataset 2,19950,1,0,"Fortune, Mr. Mark",male,64.0,5.0,263.0,S,Did Not Survive
Dataset 2,19950,1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,5.0,263.0,S,Survived
Dataset 2,PC 17485,1,1,"Francatelli, Miss. Laura Mabel",female,30.0,0.0,56.9292,C,Survived
Dataset 2,113778,1,0,"Franklin, Mr. Thomas Parham",male,,0.0,26.55,S,Did Not Survive
Dataset 2,PC 17611,1,1,"Frauenthal, Dr. Henry William",male,50.0,2.0,133.65,S,Survived
Dataset 2,17765,1,1,"Frauenthal, Mr. Isaac Gerald",male,43.0,1.0,27.7208,C,Survived
Dataset 2,PC 17611,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1.0,133.65,S,Survived
Dataset 2,13568,1,1,"Frolicher, Miss. Hedwig Margaritha",female,22.0,2.0,49.5,C,Survived
Dataset 2,13567,1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,2.0,79.2,C,Survived
Dataset 2,13567,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,2.0,79.2,C,Survived
Dataset 2,112058,1,0,"Fry, Mr. Richard",male,,0.0,0.0,S,Did Not Survive
Dataset 2,113803,1,0,"Futrelle, Mr. Jacques Heath",male,37.0,1.0,53.1,S,Did Not Survive
Dataset 2,113803,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1.0,53.1,S,Survived
Dataset 2,111320,1,0,"Gee, Mr. Arthur H",male,47.0,0.0,38.5,S,Did Not Survive
Dataset 2,113503,1,1,"Geiger, Miss. Amalie",female,35.0,0.0,211.5,C,Survived
Dataset 2,112378,1,1,"Gibson, Miss. Dorothy Winifred",female,22.0,1.0,59.4,C,Survived
Dataset 2,112378,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,1.0,59.4,C,Survived
Dataset 2,PC 17593,1,0,"Giglio, Mr. Victor",male,24.0,0.0,79.2,C,Did Not Survive
Dataset 2,17453,1,1,"Goldenberg, Mr. Samuel L",male,49.0,1.0,89.1042,C,Survived
Dataset 2,17453,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,1.0,89.1042,C,Survived
Dataset 2,PC 17754,1,0,"Goldschmidt, Mr. George B",male,71.0,0.0,34.6542,C,Did Not Survive
Dataset 2,113780,1,1,"Gracie, Col. Archibald IV",male,53.0,0.0,28.5,C,Survived
Dataset 2,112053,1,1,"Graham, Miss. Margaret Edith",female,19.0,0.0,30.0,S,Survived
Dataset 2,PC 17582,1,0,"Graham, Mr. George Edward",male,38.0,1.0,153.4625,S,Did Not Survive
Dataset 2,PC 17582,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,1.0,153.4625,S,Survived
Dataset 2,PC 17759,1,1,"Greenfield, Mr. William Bertram",male,23.0,1.0,63.3583,C,Survived
Dataset 2,PC 17759,1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,1.0,63.3583,C,Survived
Dataset 2,PC 17593,1,0,"Guggenheim, Mr. Benjamin",male,46.0,0.0,79.2,C,Did Not Survive
Dataset 2,11765,1,1,"Harder, Mr. George Achilles",male,25.0,1.0,55.4417,C,Survived
Dataset 2,11765,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25.0,1.0,55.4417,C,Survived
Dataset 2,PC 17572,1,1,"Harper, Mr. Henry Sleeper",male,48.0,1.0,76.7292,C,Survived
Dataset 2,PC 17572,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1.0,76.7292,C,Survived
Dataset 2,113796,1,0,"Harrington, Mr. Charles H",male,,0.0,42.4,S,Did Not Survive
Dataset 2,36973,1,0,"Harris, Mr. Henry Birkhardt",male,45.0,1.0,83.475,S,Did Not Survive
Dataset 2,36973,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1.0,83.475,S,Survived
Dataset 2,112059,1,0,"Harrison, Mr. William",male,40.0,0.0,0.0,S,Did Not Survive
Dataset 2,PC 17572,1,1,"Hassab, Mr. Hammad",male,27.0,0.0,76.7292,C,Survived
Dataset 2,16988,1,1,"Hawksford, Mr. Walter James",male,,0.0,30.0,S,Survived
Dataset 2,11767,1,1,"Hays, Miss. Margaret Bechstein",female,24.0,0.0,83.1583,C,Survived
Dataset 2,12749,1,0,"Hays, Mr. Charles Melville",male,55.0,2.0,93.5,S,Did Not Survive
Dataset 2,12749,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,2.0,93.5,S,Survived
Dataset 2,113038,1,0,"Head, Mr. Christopher",male,42.0,0.0,42.5,S,Did Not Survive
Dataset 2,17463,1,0,"Hilliard, Mr. Herbert Henry",male,,0.0,51.8625,S,Did Not Survive
Dataset 2,680,1,0,"Hipkins, Mr. William Edward",male,55.0,0.0,50.0,S,Did Not Survive
Dataset 2,111361,1,1,"Hippach, Miss. Jean Gertrude",female,16.0,1.0,57.9792,C,Survived
Dataset 2,111361,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,1.0,57.9792,C,Survived
Dataset 2,13502,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,1.0,77.9583,S,Survived
Dataset 2,113789,1,0,"Holverson, Mr. Alexander Oskar",male,42.0,1.0,52.0,S,Did Not Survive
Dataset 2,113789,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1.0,52.0,S,Survived
Dataset 2,111426,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0.0,26.55,C,Survived
Dataset 2,19943,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1.0,90.0,S,Survived
Dataset 2,PC 17600,1,0,"Hoyt, Mr. William Fisher",male,,0.0,30.6958,C,Did Not Survive
Dataset 2,19943,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1.0,90.0,S,Survived
Dataset 2,113572,1,1,"Icard, Miss. Amelie",female,38.0,0.0,80.0,,Survived
Dataset 2,PC 17595,1,0,"Isham, Miss. Ann Elizabeth",female,50.0,0.0,28.7125,C,Did Not Survive
Dataset 2,112058,1,1,"Ismay, Mr. Joseph Bruce",male,49.0,0.0,0.0,S,Survived
Dataset 2,694,1,0,"Jones, Mr. Charles Cresson",male,46.0,0.0,26.0,S,Did Not Survive
Dataset 2,113044,1,0,"Julian, Mr. Henry Forbes",male,50.0,0.0,26.0,S,Did Not Survive
Dataset 2,113503,1,0,"Keeping, Mr. Edwin",male,32.5,0.0,211.5,C,Did Not Survive
Dataset 2,11771,1,0,"Kent, Mr. Edward Austin",male,58.0,0.0,29.7,C,Did Not Survive
Dataset 2,17464,1,0,"Kenyon, Mr. Frederick R",male,41.0,1.0,51.8625,S,Did Not Survive
Dataset 2,17464,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,1.0,51.8625,S,Survived
Dataset 2,11753,1,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1.0,52.5542,S,Survived
Dataset 2,11753,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,1.0,52.5542,S,Survived
Dataset 2,113028,1,0,"Klaber, Mr. Herman",male,,0.0,26.55,S,Did Not Survive
Dataset 2,24160,1,1,"Kreuchen, Miss. Emilie",female,39.0,0.0,211.3375,S,Survived
Dataset 2,17465,1,1,"Leader, Dr. Alice (Farnham)",female,49.0,0.0,25.9292,S,Survived
Dataset 2,PC 17761,1,1,"LeRoy, Miss. Bertha",female,30.0,0.0,106.425,C,Survived
Dataset 2,PC 17755,1,1,"Lesurer, Mr. Gustave J",male,35.0,0.0,512.3292,C,Survived
Dataset 2,PC 17612,1,0,"Lewy, Mr. Ervin G",male,,0.0,27.7208,C,Did Not Survive
Dataset 2,17475,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42.0,0.0,26.55,S,Did Not Survive
Dataset 2,112377,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,0.0,27.7208,C,Survived
Dataset 2,PC 17592,1,1,"Lines, Miss. Mary Conover",female,16.0,1.0,39.4,S,Survived
Dataset 2,PC 17592,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,1.0,39.4,S,Survived
Dataset 2,113501,1,0,"Long, Mr. Milton Clyde",male,29.0,0.0,30.0,S,Did Not Survive
Dataset 2,13502,1,1,"Longley, Miss. Gretchen Fiske",female,21.0,0.0,77.9583,S,Survived
Dataset 2,113801,1,0,"Loring, Mr. Joseph Holland",male,30.0,0.0,45.5,S,Did Not Survive
Dataset 2,PC 17569,1,1,"Lurette, Miss. Elise",female,58.0,0.0,146.5208,C,Survived
Dataset 2,24160,1,1,"Madill, Miss. Georgette Alexandra",female,15.0,1.0,211.3375,S,Survived
Dataset 2,110469,1,0,"Maguire, Mr. John Edward",male,30.0,0.0,26.0,S,Did Not Survive
Dataset 2,110152,1,1,"Maioni, Miss. Roberta",female,16.0,0.0,86.5,S,Survived
Dataset 2,11774,1,1,"Marechal, Mr. Pierre",male,,0.0,29.7,C,Survived
Dataset 2,113773,1,0,"Marvin, Mr. Daniel Warner",male,19.0,1.0,53.1,S,Did Not Survive
Dataset 2,113773,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,1.0,53.1,S,Survived
Dataset 2,PC 17482,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,0.0,49.5042,C,Survived
Dataset 2,13050,1,0,"McCaffry, Mr. Thomas Francis",male,46.0,0.0,75.2417,C,Did Not Survive
Dataset 2,17463,1,0,"McCarthy, Mr. Timothy J",male,54.0,0.0,51.8625,S,Did Not Survive
Dataset 2,PC 17473,1,1,"McGough, Mr. James Robert",male,36.0,0.0,26.2875,S,Survived
Dataset 2,PC 17604,1,0,"Meyer, Mr. Edgar Joseph",male,28.0,1.0,82.1708,C,Did Not Survive
Dataset 2,PC 17604,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1.0,82.1708,C,Survived
Dataset 2,13509,1,0,"Millet, Mr. Francis Davis",male,65.0,0.0,26.55,S,Did Not Survive
Dataset 2,19928,1,0,"Minahan, Dr. William Edward",male,44.0,2.0,90.0,Q,Did Not Survive
Dataset 2,19928,1,1,"Minahan, Miss. Daisy E",female,33.0,1.0,90.0,Q,Survived
Dataset 2,19928,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1.0,90.0,Q,Survived
Dataset 2,13236,1,1,"Mock, Mr. Philipp Edmund",male,30.0,1.0,57.75,C,Survived
Dataset 2,113787,1,0,"Molson, Mr. Harry Markland",male,55.0,0.0,30.5,S,Did Not Survive
Dataset 2,113796,1,0,"Moore, Mr. Clarence Bloomfield",male,47.0,0.0,42.4,S,Did Not Survive
Dataset 2,PC 17596,1,0,"Natsch, Mr. Charles H",male,37.0,1.0,29.7,C,Did Not Survive
Dataset 2,35273,1,1,"Newell, Miss. Madeleine",female,31.0,1.0,113.275,C,Survived
Dataset 2,35273,1,1,"Newell, Miss. Marjorie",female,23.0,1.0,113.275,C,Survived
Dataset 2,35273,1,0,"Newell, Mr. Arthur Webster",male,58.0,2.0,113.275,C,Did Not Survive
Dataset 2,11752,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,2.0,26.2833,S,Survived
Dataset 2,693,1,0,"Nicholson, Mr. Arthur Ernest",male,64.0,0.0,26.0,S,Did Not Survive
Dataset 2,PC 17758,1,1,"Oliva y Ocana, Dona. Fermina",female,39.0,0.0,108.9,C,Survived
Dataset 2,F.C. 12998,1,1,"Omont, Mr. Alfred Fernand",male,,0.0,25.7417,C,Survived
Dataset 2,113509,1,1,"Ostby, Miss. Helene Ragnhild",female,22.0,1.0,61.9792,C,Survived
Dataset 2,113509,1,0,"Ostby, Mr. Engelhart Cornelius",male,65.0,1.0,61.9792,C,Did Not Survive
Dataset 2,PC 17562,1,0,"Ovies y Rodriguez, Mr. Servando",male,28.5,0.0,27.7208,C,Did Not Survive
Dataset 2,112052,1,0,"Parr, Mr. William Henry Marsh",male,,0.0,0.0,S,Did Not Survive
Dataset 2,113043,1,0,"Partner, Mr. Austen",male,45.5,0.0,28.5,S,Did Not Survive
Dataset 2,12749,1,0,"Payne, Mr. Vivian Ponsonby",male,23.0,0.0,93.5,S,Did Not Survive
Dataset 2,113776,1,0,"Pears, Mr. Thomas Clinton",male,29.0,1.0,66.6,S,Did Not Survive
Dataset 2,113776,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1.0,66.6,S,Survived
Dataset 2,PC 17758,1,0,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1.0,108.9,C,Did Not Survive
Dataset 2,PC 17758,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1.0,108.9,C,Survived
Dataset 2,12749,1,1,"Perreault, Miss. Anne",female,30.0,0.0,93.5,S,Survived
Dataset 2,113786,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0.0,30.5,S,Survived
Dataset 2,110465,1,0,"Porter, Mr. Walter Chamberlain",male,47.0,0.0,52.0,S,Did Not Survive
Dataset 2,11767,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,1.0,83.1583,C,Survived
